component_id,component_name,category,linked_machine_id,machine_type,criticality_score,current_stock,avg_daily_demand,std_daily_demand,lead_time_days,safety_stock,reorder_point,eoq,days_to_stockout,reorder_status,recommended_order_qty,downtime_cost_per_hour,estimated_downtime_cost
C024,Machine Part 024,Machine Part,M02,Hydraulic Press,4,45.4,14.583515881708653,5.297196665078116,7,35.7,137.8,74.0,3,URGENT - Order Now,92.0,60900,487200
C018,Machine Part 018,Machine Part,M10,Compressor Unit,3,554.9,146.61894852135816,52.7385831279704,14,422.0,2474.7,521.0,4,URGENT - Order Now,1920.0,58500,468000
C016,Raw Material 016,Raw Material,M10,Compressor Unit,3,318.9,80.38318729463309,29.004659369198883,7,164.1,726.8,354.0,5,URGENT - Order Now,408.0,58500,468000
C010,Raw Material 010,Raw Material,M09,Packaging Unit,1,662.6,101.54852135815992,36.79233318741913,7,160.1,870.9,405.0,7,URGENT - Order Now,405.0,22700,181600
C011,Machine Part 011,Machine Part,M02,Hydraulic Press,4,392.9,49.39052573932092,18.005893496301663,14,171.8,863.3,145.0,8,URGENT - Order Now,470.0,60900,487200
C002,Raw Material 002,Raw Material,M09,Packaging Unit,1,200.3,25.893811610076668,9.341371817686664,14,57.5,420.0,188.0,8,URGENT - Order Now,220.0,22700,181600
C012,Raw Material 012,Raw Material,M04,Welding Robot,3,605.2,70.31790799561884,25.5376372729376,21,250.2,1726.9,279.0,9,URGENT - Order Now,1122.0,33300,266400
C019,Raw Material 019,Raw Material,M02,Hydraulic Press,4,2048.8,213.33378970427162,77.14809087802125,14,735.9,3722.6,357.0,10,URGENT - Order Now,1674.0,60900,487200
C023,Raw Material 023,Raw Material,M07,Assembly Robot Arm,3,124.3,7.4486856516977,2.697751661099779,21,26.4,182.8,53.0,16,URGENT - Order Now,59.0,44700,357600
C006,Machine Part 006,Machine Part,M04,Welding Robot,3,322.9,33.40585980284775,12.122741389412731,3,44.9,145.1,119.0,10,Healthy,119.0,33300,0
C007,Machine Part 007,Machine Part,M04,Welding Robot,3,1425.8,156.25016429353778,56.67535331998905,5,271.0,1052.3,242.0,10,Healthy,242.0,33300,0
C001,Sub-Assembly Item 001,Sub-Assembly Item,M06,Stamping Press,1,203.8,15.930284775465498,5.732316238058144,7,24.9,136.4,122.0,12,Healthy,122.0,22900,0
C013,Machine Part 013,Machine Part,M03,Injection Molder,2,683.5,51.40958378970427,18.507369909778063,5,78.3,335.3,254.0,13,Healthy,254.0,22200,0
C017,Raw Material 017,Raw Material,M06,Stamping Press,1,1391.4,98.68203723986856,35.72951683206562,7,155.5,846.3,227.0,15,Healthy,227.0,22900,0
C022,Machine Part 022,Machine Part,M01,CNC Lathe,3,189.0,11.280010952902519,4.088768471840675,10,27.6,140.4,90.0,16,Healthy,90.0,57500,0
C008,Raw Material 008,Raw Material,M07,Assembly Robot Arm,3,605.2,39.87705366922234,14.39025219059412,7,81.4,360.5,263.0,16,Healthy,263.0,44700,0
C025,Machine Part 025,Machine Part,M09,Packaging Unit,1,1086.3,65.92979189485214,23.889580686594844,14,147.0,1070.0,161.0,17,Healthy,161.0,22700,0
C009,Machine Part 009,Machine Part,M02,Hydraulic Press,4,776.6,38.705859802847755,14.039989605040631,5,80.0,273.5,122.0,19,Healthy,122.0,60900,0
C021,Consumable 021,Consumable,M02,Hydraulic Press,4,350.1,15.75591456736035,5.71037129626353,7,38.5,148.8,237.0,20,Healthy,237.0,60900,0
C020,Machine Part 020,Machine Part,M07,Assembly Robot Arm,3,1288.7,63.051752464403066,22.7438888903963,7,128.7,570.1,152.0,21,Healthy,152.0,44700,0
C003,Sub-Assembly Item 003,Sub-Assembly Item,M03,Injection Molder,2,1766.5,83.85027382256298,30.310052266832674,10,181.3,1019.8,180.0,22,Healthy,180.0,22200,0
C004,Consumable 004,Consumable,M03,Injection Molder,2,1943.7,94.64972617743702,34.24149645352891,7,171.4,833.9,242.0,22,Healthy,242.0,22200,0
C005,Consumable 005,Consumable,M02,Hydraulic Press,4,1166.8,51.312869660460024,18.433164685112583,5,105.1,361.7,1100.0,24,Healthy,1100.0,60900,0
C015,Machine Part 015,Machine Part,M08,Grinding Machine,3,1847.3,74.61681270536691,26.909536465619205,7,152.2,674.5,207.0,24,Healthy,207.0,47400,0
C014,Raw Material 014,Raw Material,M07,Assembly Robot Arm,3,1185.3,47.60158817086528,17.129233929472083,3,63.4,206.2,187.0,25,Healthy,187.0,44700,0
