date,machine_id,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,health_score,failure_risk
2021-01-01,M01,301.2,313.4,1684.9,54.2,132.4,26.3,0.535
2021-01-02,M01,298.4,311.0,1399.0,53.6,148.3,29.4,0.546
2021-01-03,M01,300.7,314.1,1357.8,42.7,144.2,22.4,0.557
2021-01-04,M01,300.5,313.9,1314.5,48.5,138.6,32.3,0.568
2021-01-05,M01,300.4,313.8,1331.0,45.1,172.3,23.8,0.579
2021-01-06,M01,300.9,314.4,1260.1,43.2,166.3,23.5,0.591
2021-01-07,M01,302.3,315.1,1345.2,46.6,150.5,19.7,0.602
2021-01-08,M01,296.4,309.6,1359.5,49.3,159.1,21.1,0.614
2021-01-09,M01,296.9,309.6,1373.5,45.0,172.7,19.2,0.626
2021-01-10,M01,298.7,311.4,1384.0,43.8,187.5,25.5,0.638
2021-01-11,M01,301.5,314.8,1389.0,41.0,187.5,22.1,0.65
2021-01-12,M01,300.1,313.4,1451.3,46.5,162.6,20.2,0.662
2021-01-13,M01,297.5,310.2,1372.1,59.5,191.5,19.7,0.674
2021-01-14,M01,301.3,315.1,1464.0,41.9,200.5,19.0,0.686
2021-01-15,M01,297.7,312.4,1449.1,51.8,207.0,16.3,0.699
2021-01-16,M01,299.9,312.2,1396.6,49.7,204.5,15.0,0.711
2021-01-17,M01,301.6,315.5,1352.1,45.2,171.3,19.6,0.724
2021-01-18,M01,300.7,313.9,1359.8,47.9,183.1,18.4,0.737
2021-01-19,M01,300.4,312.9,1330.1,52.9,184.2,14.8,0.749
2021-01-20,M01,300.9,313.8,1403.0,52.1,212.0,15.0,0.762
2021-01-21,M01,301.9,315.2,1279.4,53.4,205.8,7.0,0.775
2021-01-22,M01,299.4,313.2,1359.3,45.0,189.1,16.9,0.789
2021-01-23,M01,302.6,316.2,1244.8,41.2,166.2,10.0,0.802
2021-01-24,M01,300.7,313.6,1378.4,51.7,221.5,11.5,0.815
2021-01-25,M01,299.3,311.8,1374.8,40.1,192.4,8.5,0.829
2021-01-26,M01,301.8,314.2,1530.4,45.3,200.0,10.0,0.843
2021-01-27,M01,303.5,316.5,1648.5,53.5,213.9,8.3,0.856
2021-01-28,M01,303.3,316.2,1411.9,54.1,225.5,3.9,0.87
2021-01-29,M01,304.5,318.0,1341.7,57.3,221.2,7.8,0.884
2021-01-30,M01,298.8,313.2,1230.2,49.2,221.8,4.5,0.898
2021-01-31,M01,298.9,311.1,1290.2,51.4,178.7,1.6,0.912
2021-02-01,M01,300.6,313.4,1416.0,46.6,191.9,0.7,0.927
2021-02-02,M01,298.7,312.3,1373.6,43.5,241.2,6.4,0.941
2021-02-03,M01,302.9,318.3,1315.2,53.2,188.7,7.1,0.956
2021-02-04,M01,302.5,316.7,1369.2,46.3,197.9,1.1,0.97
2021-02-05,M01,301.3,314.7,1490.2,42.7,188.5,0.7,0.985
2021-02-06,M01,295.8,305.7,1472.2,47.7,0.0,101.5,0.0
2021-02-07,M01,302.1,312.2,1489.9,32.0,2.2,98.6,0.0
2021-02-08,M01,298.6,308.5,1552.5,41.7,4.1,97.2,0.001
2021-02-09,M01,297.9,310.1,1394.2,46.1,8.2,92.9,0.001
2021-02-10,M01,299.9,311.0,1514.0,36.0,10.9,92.9,0.002
2021-02-11,M01,299.8,309.0,1490.8,35.3,12.8,94.7,0.003
2021-02-12,M01,295.7,307.0,1356.9,44.4,13.9,96.2,0.005
