machine_id,scheduled_date,maintenance_type
M01,2021-01-18,Part Replacement
M01,2021-05-17,Part Replacement
M01,2021-08-08,Routine Inspection
M01,2021-10-09,Routine Inspection
M01,2021-12-11,Part Replacement
M01,2022-03-02,Full Overhaul
M01,2022-06-06,Routine Inspection
M01,2022-09-14,Routine Inspection
M01,2023-01-02,Routine Inspection
M01,2023-04-12,Full Overhaul
M01,2023-07-20,Part Replacement
M01,2023-11-15,Routine Inspection
M01,2024-02-26,Routine Inspection
M01,2024-06-23,Routine Inspection
M01,2024-09-10,Part Replacement
M01,2024-11-25,Routine Inspection
M01,2025-02-24,Routine Inspection
M01,2025-04-29,Part Replacement
M01,2025-08-20,Part Replacement
M01,2025-10-20,Routine Inspection
M01,2026-02-14,Full Overhaul
M01,2026-05-16,Routine Inspection
M01,2026-09-01,Part Replacement
M01,2026-11-02,Routine Inspection
M02,2021-01-23,Routine Inspection
M02,2021-05-07,Routine Inspection
M02,2021-08-28,Full Overhaul
M02,2021-12-25,Full Overhaul
M02,2022-03-07,Routine Inspection
M02,2022-05-19,Part Replacement
M02,2022-08-24,Routine Inspection
M02,2022-10-24,Routine Inspection
M02,2023-01-23,Full Overhaul
M02,2023-05-19,Routine Inspection
M02,2023-07-19,Routine Inspection
M02,2023-10-28,Routine Inspection
M02,2024-01-25,Routine Inspection
M02,2024-05-21,Routine Inspection
M02,2024-07-30,Routine Inspection
M02,2024-10-03,Routine Inspection
M02,2024-12-07,Part Replacement
M02,2025-03-05,Part Replacement
M02,2025-06-18,Part Replacement
M02,2025-09-30,Part Replacement
M02,2026-01-14,Routine Inspection
M02,2026-03-25,Part Replacement
M02,2026-07-14,Routine Inspection
M02,2026-10-09,Part Replacement
M03,2021-02-27,Routine Inspection
M03,2021-06-18,Routine Inspection
M03,2021-09-02,Part Replacement
M03,2021-12-03,Routine Inspection
M03,2022-02-23,Routine Inspection
M03,2022-06-02,Routine Inspection
M03,2022-08-23,Routine Inspection
M03,2022-12-06,Part Replacement
M03,2023-02-13,Routine Inspection
M03,2023-06-03,Routine Inspection
M03,2023-09-26,Routine Inspection
M03,2023-12-30,Routine Inspection
M03,2024-04-20,Routine Inspection
M03,2024-06-23,Routine Inspection
M03,2024-09-04,Routine Inspection
M03,2024-12-19,Part Replacement
M03,2025-04-09,Routine Inspection
M03,2025-08-01,Routine Inspection
M03,2025-10-08,Routine Inspection
M03,2026-01-21,Routine Inspection
M03,2026-05-11,Routine Inspection
M03,2026-07-10,Part Replacement
M03,2026-10-19,Routine Inspection
M03,2026-12-25,Part Replacement
M04,2021-02-13,Routine Inspection
M04,2021-05-30,Part Replacement
M04,2021-09-14,Routine Inspection
M04,2021-12-19,Routine Inspection
M04,2022-04-13,Part Replacement
M04,2022-06-19,Routine Inspection
M04,2022-09-17,Routine Inspection
M04,2023-01-11,Routine Inspection
M04,2023-04-16,Full Overhaul
M04,2023-06-19,Part Replacement
M04,2023-10-16,Part Replacement
M04,2024-01-16,Routine Inspection
M04,2024-03-31,Routine Inspection
M04,2024-07-17,Part Replacement
M04,2024-10-29,Full Overhaul
M04,2025-02-14,Routine Inspection
M04,2025-06-10,Part Replacement
M04,2025-08-09,Part Replacement
M04,2025-10-26,Part Replacement
M04,2026-02-08,Part Replacement
M04,2026-05-08,Routine Inspection
M04,2026-08-24,Part Replacement
M04,2026-12-13,Full Overhaul
M05,2021-02-23,Routine Inspection
M05,2021-05-09,Routine Inspection
M05,2021-09-04,Full Overhaul
M05,2021-12-27,Routine Inspection
M05,2022-04-11,Routine Inspection
M05,2022-06-15,Full Overhaul
M05,2022-08-25,Routine Inspection
M05,2022-12-14,Part Replacement
M05,2023-03-15,Part Replacement
M05,2023-06-13,Part Replacement
M05,2023-09-17,Part Replacement
M05,2023-11-23,Routine Inspection
M05,2024-02-23,Routine Inspection
M05,2024-05-09,Part Replacement
M05,2024-07-14,Part Replacement
M05,2024-09-21,Part Replacement
M05,2024-11-20,Routine Inspection
M05,2025-01-22,Part Replacement
M05,2025-04-01,Full Overhaul
M05,2025-07-14,Routine Inspection
M05,2025-10-15,Routine Inspection
M05,2025-12-23,Part Replacement
M05,2026-04-04,Routine Inspection
M05,2026-07-23,Part Replacement
M05,2026-11-04,Full Overhaul
M06,2021-02-12,Routine Inspection
M06,2021-04-22,Routine Inspection
M06,2021-06-26,Full Overhaul
M06,2021-10-10,Routine Inspection
M06,2022-01-14,Routine Inspection
M06,2022-04-10,Routine Inspection
M06,2022-07-01,Routine Inspection
M06,2022-10-24,Routine Inspection
M06,2023-01-10,Routine Inspection
M06,2023-04-13,Routine Inspection
M06,2023-08-09,Routine Inspection
M06,2023-11-03,Routine Inspection
M06,2024-02-26,Part Replacement
M06,2024-05-02,Routine Inspection
M06,2024-07-24,Part Replacement
M06,2024-11-10,Part Replacement
M06,2025-02-06,Full Overhaul
M06,2025-05-13,Part Replacement
M06,2025-07-28,Routine Inspection
M06,2025-10-26,Routine Inspection
M06,2026-02-12,Routine Inspection
M06,2026-05-19,Routine Inspection
M06,2026-07-21,Routine Inspection
M06,2026-09-26,Routine Inspection
M07,2021-01-14,Routine Inspection
M07,2021-03-15,Routine Inspection
M07,2021-05-22,Routine Inspection
M07,2021-09-15,Part Replacement
M07,2021-12-29,Part Replacement
M07,2022-04-09,Part Replacement
M07,2022-06-23,Routine Inspection
M07,2022-08-26,Routine Inspection
M07,2022-11-01,Part Replacement
